Quiz,Average Discrimination,Median Discrimination,# Discrimination > 0,# Discrimination > 0.5
Customer satisfaction,1.0888,1.1333,1.0000,0.9000
Vietnam War [Expert-Expert2],0.7112,0.7171,1.0000,0.7778
Stroke,0.6645,0.6782,1.0000,0.8000
Cell (biology),0.6602,0.6402,1.0000,0.7000
Earthquake,0.6293,0.6432,1.0000,0.5000
Earthquake [Expert-Expert2],0.5377,0.4581,1.0000,0.5000
Metaphysics,0.5256,0.6437,0.9000,0.6000
Waste management,0.5251,0.5484,0.9000,0.5000
Developmental psychology,0.4592,0.5228,0.8000,0.5000
Vietnam War,0.4410,0.3899,0.9000,0.4000
Market structure,0.4071,0.2726,0.9000,0.3000
Elasticity (physics),0.1260,0.2349,0.7000,0.1000
